artista	danceability	duration	enery	key	liveness	loudness	mode	speechiness	tempo	time_signature	genre
d	c	c	c	d	c	c	d	c	c	d	d	d
Sabaton	0.471674	292.2	0.790785	6	0.110395	-6.251	0	0.030538	104.128	4	metal	
3 Inches of Blood	0.259014	402.89333	0.971635	10	0.135428	-6.021	0	0.051058	97.236	4	metal	
Sepultura	0.47492	199.22667	0.953186	2	0.10374	-6.95	1	0.146887	118.033	4	metal	
Testament	0.339699	256.93333	0.621129	0	0.110348	-16.561	1	0.057119	104.591	4	metal	
Annihilator	0.425587	290.26667	0.847176	2	0.4889	-6.256	1	0.042596	90.026	4	metal	
Dio	0.524173	284.0	0.713331	9	0.14822	-7.75	1	0.043299	107.802	4	metal	
Warlock	0.501422	197.50667	0.930756	0	0.3085	-7.122	0	0.079278	131.347	4	metal	
Gamma Ray	0.415082	225.53333	0.977525	2	0.121547	-4.764	1	0.118505	145.532	4	metal	
Volbeat	0.373115	263.08	0.89706	2	0.244318	-4.47	1	0.089719	109.541	3	metal	
Dew-Scented	0.468301	260.78667	0.994886	2	0.181338	-1.138	1	0.141953	106.528	4	metal	
Slayer	0.281682	252.87973	0.996307	1	0.086637	-2.827	0	0.20309	87.784	4	metal	
Angel Dust	0.705299	186.53333	0.343482	8	0.090101	-10.89	0	0.052042	113.766	4	metal	
Black Label Society	0.442544	235.46667	0.349102	7	0.109232	-8.834	1	0.026947	83.271	4	metal	
Armored Saint	0.401095	306.2	0.995362	11	0.069318	-2.668	1	0.136882	154.025	4	metal	
Behemoth	0.226474	315.44	0.984362	8	0.072897	-4.182	1	0.219663	129.874	4	metal	
Sinner	0.501761	193.48	0.952481	2	0.372931	-4.747	1	0.102257	75.024	4	metal	
Slayer	0.32909	291.46639	0.991233	10	0.068514	-3.079	0	0.178529	98.411	4	metal	
3 Inches of Blood	0.437551	242.66667	0.996164	9	0.465002	-3.457	1	0.114447	158.133	4	metal	
Bruce Dickinson	0.324197	344.08	0.984528	6	0.884956	-6.993	0	0.179109	116.76	4	metal	
Sadus	0.237081	104.33333	0.908844	6	0.334716	-10.934	0	0.082829	134.262	4	metal	
